latitude,longitude,sst_celsius
15.9808,68.99,2.32
15.9808,69.1209,2.47
15.9808,69.3174,2.51
15.9808,69.3828,2.33
15.9808,69.4483,2.5
15.9808,69.5138,2.5
15.9808,69.5792,2.52
15.9808,69.7102,2.48
15.9808,69.7757,2.48
15.9808,69.8411,2.49
15.9808,69.9066,2.49
15.9808,69.9721,2.48
15.9808,70.103,2.45
15.9808,70.1685,2.46
15.9808,70.234,2.52
15.9808,70.2994,2.52
15.9153,68.4007,2.45
15.9153,68.4662,2.42
15.9153,68.5317,2.42
15.9153,68.5972,2.42
15.9153,68.6626,2.43
15.9153,68.7281,2.36
15.9153,68.859,2.5
15.9153,68.9245,2.32
15.9153,68.99,2.36
15.9153,69.0555,2.47
15.9153,69.1209,2.34
15.9153,69.1864,2.48
15.9153,69.2519,2.5
15.9153,69.3174,2.52
15.9153,69.3828,2.47
15.9153,69.4483,2.47
15.9153,69.5138,2.37
15.9153,69.5792,2.39
15.9153,69.6447,2.54
15.9153,69.7102,2.5
15.9153,69.7757,2.49
15.9153,69.8411,2.5
15.9153,69.9066,2.45
15.9153,69.9721,2.56
15.9153,70.0376,2.45
15.9153,70.1685,2.51
15.9153,70.3649,2.47
15.8498,67.8115,2.47
15.8498,67.877,2.42
15.8498,67.9424,2.5
15.8498,68.4662,2.41
15.8498,68.5317,2.39
15.8498,68.5972,2.41
15.8498,68.6626,2.43
15.8498,68.7281,2.4
15.8498,68.7936,2.38
15.8498,68.859,2.34
15.8498,68.9245,2.33
15.8498,68.99,2.37
15.8498,69.0555,2.34
15.8498,69.1209,2.35
15.8498,69.1864,2.35
15.8498,69.2519,2.5
15.8498,69.5792,2.52
15.8498,69.6447,2.51
15.8498,69.7102,2.49
15.7843,67.746,2.91
15.7843,67.8115,2.36
15.7843,68.0734,2.42
15.7843,68.1388,2.46
15.7843,68.2043,2.41
15.7843,68.5317,2.36
15.7843,68.5972,2.4
15.7843,68.6626,2.4
15.7843,68.7281,2.42
15.7843,68.7936,2.37
15.7843,68.9245,2.29
15.7843,68.99,2.21
15.7843,69.1209,2.41
15.7843,69.1864,2.55
15.7843,69.2519,2.38
15.7843,69.3174,2.39
15.7843,69.3828,2.37
15.7843,69.7757,2.6
15.7189,67.746,3.89
15.7189,68.0079,2.44
15.7189,68.2043,2.45
15.7189,68.2698,2.46
15.7189,68.4662,2.53
15.7189,68.5317,2.45
15.7189,68.6626,2.44
15.7189,68.7281,2.42
15.7189,68.7936,2.46
15.7189,68.9245,2.38
15.7189,68.99,2.33
15.7189,69.0555,2.4
15.7189,69.1209,2.41
15.6534,67.8115,2.26
15.6534,67.877,2.45
15.6534,68.2043,2.48
15.6534,68.5972,2.38
15.6534,68.6626,2.35
15.6534,68.7281,2.41
15.6534,68.7936,2.41
15.6534,68.859,2.36
15.6534,68.9245,2.39
15.6534,69.0555,2.41
15.6534,69.1864,2.43
15.6534,69.6447,2.37
15.6534,69.7102,2.36
15.6534,69.8411,2.49
15.5879,67.8115,2.4
15.5879,68.4662,2.5
15.5879,68.5972,2.46
15.5879,68.7281,2.35
15.5879,68.7936,2.38
15.5879,68.859,2.68
15.5879,68.9245,2.36
15.5879,68.99,2.38
15.5879,69.0555,2.39
15.5879,69.1209,2.39
15.5879,69.2519,2.46
15.5879,69.5138,2.33
15.5879,69.5792,2.58
15.5879,69.8411,2.5
15.5879,69.9721,2.53
15.5224,68.3353,2.47
15.5224,68.4007,2.23
15.5224,68.4662,2.52
15.5224,68.5317,2.45
15.5224,68.5972,2.44
15.5224,68.7281,2.37
15.5224,68.859,2.35
15.5224,68.9245,2.37
15.5224,68.99,2.46
15.5224,69.0555,2.38
15.5224,69.1209,2.42
15.5224,69.1864,2.44
15.5224,69.2519,2.5
15.5224,69.3174,2.51
15.5224,70.8887,2.46
15.457,67.6805,2.24
15.457,67.746,2.39
15.457,67.8115,2.36
15.457,67.877,2.33
15.457,67.9424,2.39
15.457,68.2043,2.37
15.457,68.5317,2.43
15.457,68.5972,2.41
15.457,68.6626,2.44
15.457,68.7281,2.37
15.457,68.7936,2.4
15.457,68.859,2.33
15.457,68.9245,2.4
15.457,69.1209,2.45
15.457,69.1864,2.46
15.457,69.5792,2.64
15.457,70.9542,2.4
15.3915,67.6805,3.98
15.3915,67.746,2.25
15.3915,67.8115,2.37
15.3915,67.877,2.41
15.3915,67.9424,2.36
15.3915,68.2698,2.43
15.3915,68.5972,2.43
15.3915,68.6626,2.44
15.3915,68.7281,2.44
15.3915,68.859,2.37
15.3915,68.9245,2.36
15.3915,68.99,2.44
15.3915,69.0555,2.48
15.3915,69.1209,2.57
15.3915,69.1864,2.5
15.3915,70.234,2.44
15.3915,70.3649,2.55
15.3915,70.5613,2.58
15.326,67.6805,2.94
15.326,67.746,2.37
15.326,67.8115,2.34
15.326,67.877,2.58
15.326,67.9424,2.43
15.326,68.0079,2.38
15.326,68.0734,2.39
15.326,68.1388,2.37
15.326,68.5317,2.45
15.326,68.5972,2.4
15.326,68.6626,2.32
15.326,68.7281,2.38
15.326,68.859,2.49
15.326,69.9066,2.36
15.326,70.103,2.37
15.326,70.1685,2.61
15.326,70.234,2.42
15.326,70.2994,2.42
15.326,70.4304,2.46
15.326,70.5613,2.45
15.326,70.6268,2.52
15.326,70.8232,2.56
15.326,70.8887,2.47
15.326,71.0196,2.4
15.2605,67.6805,2.35
15.2605,67.746,2.33
15.2605,67.8115,2.31
15.2605,68.0734,2.37
15.2605,68.3353,2.41
15.2605,68.4662,2.43
